STT,Hạng mục công việc hàng tháng,Mô tả ngắn gọn & Khối lượng công việc chi tiết,Chu kỳ,Chi phí / Tháng (VNĐ)
I,CHI PHÍ HẠ TẦNG & CÔNG CỤ HÀNG THÁNG,Duy trì Server VPS 24/7 (500k) + Email Brevo (1tr) + Google AI subscription (1tr).,Hàng tháng,2500000
II,PHÍ VẬN HÀNH DÀN AGENT & ĐỒNG HÀNH MARKETING,Trọn gói công chuyên gia kỹ thuật đồng hành toàn diện cùng doanh nghiệp:,Hàng tháng,5500000
1,• Vận Hành & Tinh Chỉnh Hệ Thống 9 AI Agent,"Giám sát Agent chạy 24/7; sửa lỗi kết nối API (Zalo, MISA, WP); tinh chỉnh prompt khi có sản phẩm mới.",Hàng tháng,Đã bao gồm
2,• Sản Xuất & Xuất Bản SEO Kỹ Thuật,"Xuất bản 4 – 6 bài SEO kỹ thuật chuyên sâu/tháng (1 bài/tuần) chuẩn E-E-A-T, hình ảnh kho thật lên 3 website.",Hàng tháng,Đã bao gồm
3,• Rà Soát & Tối Ưu Bài Viết Cũ (Refresh),"Rà soát và cập nhật 2 – 3 bài viết cũ/tháng (bổ sung thông số mới, giá mới) để giữ vững thứ hạng Top Google.",Hàng tháng,Đã bao gồm
4,• Giám Sát Thứ Hạng Từ Khóa Hàng Ngày,"Theo dõi hơn 100+ từ khóa chủ lực qua SERP Robot trên 3 website, phát hiện biến động để xử lý kịp thời.",Hàng tháng,Đã bao gồm
5,• Vận Hành Agent Săn Khách Hàng Internet,"Định kỳ quét danh bạ nhà máy KCN, bóc tách SĐT/MST và lọc trùng CRM để nạp khách tiềm năng mới vào phễu.",Hàng tháng,Đã bao gồm
6,• Thực Thi Email Marketing B2B Nuôi Dưỡng,Thiết lập & gửi 2 – 4 chiến dịch Email B2B/tháng chào hàng đại lý & nhắc lịch thay vật liệu; đo lường tỷ lệ mở/click.,Hàng tháng,Đã bao gồm
7,• Quản Trị Kỹ Thuật & Tốc Độ 3 Website,"Duy trì 3 website ổn định, bảo mật, tải nhanh; cập nhật giá mới, banner, thông số sản phẩm khi có yêu cầu.",Hàng tháng,Đã bao gồm
8,• Xử Lý Sự Cố Khẩn Cấp & Backup Hàng Tuần,Khắc phục sự cố kỹ thuật website trong vòng 2 – 4 giờ; tự động sao lưu (backup) dữ liệu định kỳ hàng tuần.,Hàng tháng,Đã bao gồm
9,• Báo Cáo Hiệu Quả & Đối Soát Cuối Tháng,"Gửi báo cáo số liệu thật (thứ hạng từ khóa, số bài SEO, lead mới đã quét, tỷ lệ email) và kế hoạch tháng mới.",Hàng tháng,Đã bao gồm
TỔNG,TỔNG CHI PHÍ TRỌN GÓI DUY TRÌ & ĐỒNG HÀNH HÀNG THÁNG,Bao gồm toàn bộ Hạ tầng (2.5tr) + Trọn gói 9 hạng mục kỹ thuật đồng hành hàng tháng (5.5tr),Hàng tháng,8000000
